node	country_code	host_type	location
KY325464	USA	human	Northern America
KY325476	USA	human	Northern America
n270	HTI	human	Caribbean
MF783072	HTI	mosquito	Caribbean
KU922960	MEX	human	Central America
KU922923	MEX	human	Central America
KX702400	VEN	human	South America
KX893855	VEN	human	South America
n244	USA	human	Northern America
KY014326	USA	human	Northern America
n254	USA	human	Northern America
n264	USA	human	Northern America
KY325472	USA	human	Northern America
KX842449	USA	human	Northern America
KY075936	USA	human	Northern America
n259	USA	human	Northern America
n228	USA	human	Northern America
KY325473	USA	human	Northern America
n231	USA	human	Northern America
KX838906	USA	mosquito	Northern America
n235	USA	mosquito	Northern America
KY325482	USA	human	Northern America
n271	HTI	human	Caribbean
KY415990	HTI	human	Caribbean
KY415986	HTI	human	Caribbean
KY415987	HTI	human	Caribbean
n275	HTI	human	Caribbean
n252	USA	human	Northern America
n249	USA	human	Northern America
n248	USA	mosquito	Northern America
KY325468	USA	human	Northern America
KX838905	USA	mosquito	Northern America
n251	USA	human	Northern America
KY325467	USA	human	Northern America
KX832731	USA	human	Northern America
n265	USA	human	Northern America
KX922704	USA	human	Northern America
n260	USA	human	Northern America
n263	USA	mosquito	Northern America
KX922705	USA	human	Northern America
KY014298	USA	human	Northern America
n232	USA	mosquito	Northern America
n233	USA	human	Northern America
KY075937	USA	mosquito	Northern America
KY785422	USA	mosquito	Northern America
KY415988	HTI	human	Caribbean
KX673530	GBR	human	Europe
KY415991	HTI	human	Caribbean
KY415989	HTI	human	Caribbean
KY785412	USA	human	Northern America
KY075935	USA	human	Northern America
KX922703	USA	human	Northern America
KY785445	USA	human	Northern America
KY785468	USA	mosquito	Northern America
KY075939	USA	mosquito	Northern America
KY785474	USA	human	Northern America
KY325469	USA	human	Northern America
KX922706	USA	human	Northern America
KY325478	USA	human	Northern America
KY325483	USA	human	Northern America
n261	USA	human	Northern America
KX838904	USA	mosquito	Northern America
KY014324	USA	mosquito	Northern America
KY014299	USA	mosquito	Northern America
KX922708	USA	mosquito	Northern America
KY785459	USA	human	Northern America
MF988743	USA	mosquito	Northern America
KY325477	USA	human	Northern America
KY785472	USA	mosquito	Northern America
KY075938	USA	mosquito	Northern America
